index,name,translation
1,Name,姓名
2,Nationality,国籍
3,National_Position,国家队位置
4,National_Kit,国家队号码
5,Club,所在俱乐部
6,Club_Position,所在俱乐部位置
7,Club_Kit,俱乐部号码
8,Club_Joining,加入俱乐部时间
9,Contract_Expiry,合同到期时间
10,Rating,评分
11,Height,身高
12,Weight,体重
13,Preffered_Foot,擅长左（右）脚
14,Birth_Date,出生日期
15,Age,年龄
16,Preffered_Position,擅长位置
17,Work_Rate,工作效率
18,Weak_foot,非惯用脚使用频率
19,Skill_Moves,技术等级
20,Ball_Control,控球技术
21,Dribbling,盘球（带球）能力
22,Marking,盯人能力
23,Sliding_Tackle,铲球
24,Standing_Tackle,逼抢能力
25,Aggression,攻击能力
26,Reactions,反击
27,Attacking_Position,攻击性跑位
28,Interceptions,抢断
29,Vision,视野
30,Composure,镇静
31,Crossing,下底传中
32,Short_Pass,短传
33,Long_Pass,长传
34,Acceleration,加速度
35,Speed,速度
36,Stamina,体力
37,Strength,强壮
38,Balance,平衡
39,Agility,敏捷度
40,Jumping,跳跃
41,Heading,投球
42,Shot_Power,射门力量
43,Finishing,射门
44,Long_Shots,远射
45,Curve,弧线
46,Freekick_Accuracy,任意球精准度
47,Penalties,点球
48,Volleys,凌空能力
49,GK_Positioning,门将位置感
50,GK_Diving,扑救能力
51,GK_Kicking,门将踢球能力
52,GK_Handling,扑球脱手几率
53,GK_Reflexes,门将反应度
